depth,temperature
0.5,15.1572
1.005,15.1572
1.515,15.1572
2.03,15.1572
2.55,15.1572
3.075,15.1572
3.605,15.1572
4.14,15.1572
4.68,15.1572
5.225,15.1572
5.775,15.1507
6.33,15.1471
6.89,15.1425
7.455,15.1322
8.025,15.1201
8.6,15.1079
9.18,15.0955
9.765,15.0669
10.355,15.0427
10.95,14.9997
11.551,14.8766
12.157,14.5919
12.768,13.7693
13.384,13.2824
14.005,12.7497
14.631,12.1852
15.262,10.9586
15.898,10.3232
16.539,9.7589
17.185,9.3529
17.836,8.7972
18.492,8.588
19.153,8.4213
19.819,8.1747
20.49,8.1108
21.166,8.0656
21.847,7.9828
22.533,7.9394
23.224,7.8969
23.92,7.8195
24.621,7.7787
25.327,7.6978
26.038,7.6555
26.754,7.5748
27.475,7.5336
28.201,7.4921
28.932,7.4076
29.668,7.366
30.409,7.2772
31.155,7.2304
31.906,7.1353
32.662,7.0882
33.423,6.9953
34.189,6.9499
34.96,6.8676
35.736,6.8288
36.517,6.7575
37.303,6.6906
38.094,6.6596
38.89,6.5986
39.692,6.5685
40.499,6.5106
41.311,6.4594
42.128,6.4372
42.95,6.3964
43.777,6.3592
44.609,6.3418
45.446,6.3097
46.288,6.2811
47.135,6.2665
47.987,6.2354
48.844,6.204
49.706,6.1886
50.573,6.1579
51.445,6.1258
52.322,6.099
53.204,6.0866
54.091,6.0625
54.983,6.0375
55.88,6.012
56.782,5.9869
57.689,5.9735
58.601,5.9478
59.518,5.9234
60.44,5.9012
61.367,5.8786
62.299,5.859
63.236,5.8491
64.178,5.8321
65.125,5.8167
66.077,5.8035
67.034,5.7894
67.996,5.7756
68.963,5.762
69.935,5.745
70.912,5.7273
71.894,5.7107
72.881,5.6943
73.873,5.6775
74.87,5.6623
75.873,5.6487
76.881,5.6356
77.894,5.6239
78.912,5.6126
79.935,5.6042
80.963,5.596
81.996,5.5883
83.034,5.5793
84.077,5.5704
85.125,5.56
86.178,5.5496
87.236,5.5396
88.299,5.5235
89.367,5.5142
90.44,5.5056
91.518,5.4972
92.601,5.4884
93.689,5.4811
94.782,5.4702
95.88,5.4627
96.983,5.4552
98.091,5.4485
99.204,5.4422
100.322,5.4343
101.445,5.4293
102.573,5.4254
103.706,5.4213
104.844,5.415
105.987,5.4107
107.135,5.4071
108.288,5.4015
109.446,5.3975
110.609,5.3936
111.777,5.3888
112.95,5.3856
114.128,5.3825
115.311,5.3789
116.499,5.3767
117.692,5.3747
118.89,5.3724
120.094,5.3701
121.303,5.3668
122.517,5.3646
123.736,5.3622
124.96,5.3592
126.189,5.3571
127.423,5.3533
128.662,5.3508
129.906,5.3472
131.155,5.3449
132.409,5.3415
133.668,5.3394
134.932,5.3368
136.201,5.3356
137.475,5.3338
138.754,5.3319
140.038,5.3306
141.327,5.3284
142.621,5.3273
143.92,5.3256
145.224,5.3245
146.533,5.3228
147.847,5.3208
149.166,5.3191
150.49,5.317
151.819,5.315
153.153,5.3138
154.492,5.3119
155.836,5.3094
157.185,5.3083
158.539,5.3075
159.898,5.3057
161.262,5.3031
162.631,5.3002
164.005,5.295
165.384,5.2914
166.768,5.2885
168.157,5.2873
169.551,5.2855
170.95,5.283
172.355,5.2813
173.765,5.2803
175.18,5.2803
176.6,5.2803
178.025,5.2803
179.455,5.2803
180.89,5.2803
182.33,5.2803
183.775,5.2803
185.225,5.2803
186.68,5.2803
188.14,5.2803
189.605,5.2803
191.075,5.2803
192.55,5.2803
194.03,5.2803
195.515,5.2803
197.005,5.2803
198.5,5.2803
200.0,5.2803
